"","region","Year","Crime_Rate"
"1","Eastern",2020,0.084158088113601
"2","Eastern",2021,0.0763846605399485
"3","Eastern",2022,0.0857870450890336
"4","Western",2020,0.0749932436504129
"5","Western",2021,0.0748651365017533
"6","Western",2022,0.084672099893638
