"","Cities","region","total_offense_2020","total_offense_2021","total_offense_2022","Population_2020","Population_2021","Population_2022","crime_rate_2020","crime_rate_2021","crime_rate_2022"
"132","Union Gap","Eastern",678,649,871,6206,6163,6514,0.109249113760877,0.105305857536914,0.133712004912496
"133","University Place","Western",1862,1520,1815,34339,34404,34846,0.0542240601065843,0.044180909196605,0.0520863226769213
"134","Vancouver","Western",15656,20425,23484,186440,188160,193273,0.0839733962668955,0.108551232993197,0.121506884044848
"135","Walla Walla","Eastern",1992,1535,2237,32944,33154,33899,0.0604662457503643,0.0462990890993545,0.0659901472019824
"136","Warden","Eastern",85,128,209,2825,2848,2574,0.0300884955752212,0.0449438202247191,0.0811965811965812
"137","Washougal","Eastern",802,700,761,16334,16317,16902,0.0491000367331946,0.0429000429000429,0.0450242574843214
"138","Wenatchee","Eastern",1864,2019,2361,34525,34349,35462,0.0539898624185373,0.0587790037555678,0.0665783091760194
"139","Westport","Western",184,149,206,2102,2123,2280,0.0875356803044719,0.0701837023080546,0.0903508771929825
"140","West Richland","Eastern",647,441,427,15464,15817,17557,0.0418391101914123,0.0278813934374407,0.024320783732984
"141","White Salmon","Western",100,72,54,2732,2764,2663,0.0366032210834553,0.0260492040520984,0.0202778820878708
"142","Woodinville","Western",747,699,753,13547,15462,13357,0.055141359710637,0.0452076057431121,0.056374934491278
"143","Woodway","Western",37,13,51,1400,1399,1302,0.0264285714285714,0.00929235167977126,0.0391705069124424
"144","Yakima","Eastern",7840,6676,7204,93862,94594,96267,0.0835268798874944,0.0705753007590333,0.0748335358949588
