"","region","Total_Population_2020","Total_Population_2021","Total_Population_2022","Total_Offenses_2020","Total_Offenses_2021","Total_Offenses_2022"
"1","Eastern",906330,914791,931446,76275,69876,79906
"2","Western",3800129,3845555,3787068,284984,287898,320659
